run,1,2,3,4,5,6,7,8,9,10,11,12
Annual AC degradation rate (%/year),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Enable interconnection limit,0,0,0,0,0,0,0,0,0,0,0,0
Grid interconnection limit (kWac),100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
Solar resource library current selection,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019,omer_israel_31.2659_34.8476_msg-iodc_60_2019
Age (%),0,0,0,0,0,0,0,0,0,0,0,0
Array type,1,1,1,1,1,1,1,1,1,1,1,1
Availability (%),3,3,3,3,3,3,3,3,3,3,3,3
Azimuth (degrees),180,180,180,180,180,180,180,180,180,180,180,180
Connections (%),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
DC to AC ratio,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.15
Ground coverage ratio,0.3,0.4,0.5,0.6,0.3,0.4,0.5,0.6,0.3,0.4,0.5,0.6
Inverter efficiency (%),96,96,96,96,97,97,97,97,98,98,98,98
Annual AC output (kWh),918362,918362,918362,918362,927925,927925,927925,927925,937482,937482,937482,937495
AC inverter output power (W) - Hour 0,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 1,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 2,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 3,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 4,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 5,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 6,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 7,84339.8,84339.8,84339.8,84339.8,85218.4,85218.4,85218.4,85218.4,86096.9,86096.9,86096.9,86096.9
AC inverter output power (W) - Hour 8,204416,204416,204416,204416,206545,206545,206545,206545,208674,208674,208674,208674
AC inverter output power (W) - Hour 9,287666,287666,287666,287666,290663,290663,290663,290663,293659,293659,293659,293659
AC inverter output power (W) - Hour 10,340222,340222,340222,340222,343766,343766,343766,343766,347310,347310,347310,347310
AC inverter output power (W) - Hour 11,362954,362954,362954,362954,366735,366735,366735,366735,370515,370515,370515,370515
AC inverter output power (W) - Hour 12,351903,351903,351903,351903,355568,355568,355568,355568,359234,359234,359234,359234
AC inverter output power (W) - Hour 13,313350,313350,313350,313350,316614,316614,316614,316614,319879,319879,319879,319879
AC inverter output power (W) - Hour 14,244057,244057,244057,244057,246599,246599,246599,246599,249142,249142,249142,249142
AC inverter output power (W) - Hour 15,139593,139593,139593,139593,141047,141047,141047,141047,142501,142501,142501,142501
AC inverter output power (W) - Hour 16,15055.3,15055.3,15055.3,15055.3,15212.2,15212.2,15212.2,15212.2,15369,15369,15369,15369
AC inverter output power (W) - Hour 17,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 18,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 19,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 20,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 21,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 22,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 23,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 24,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 25,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 26,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 27,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 28,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 29,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 30,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 31,78494.7,78494.7,78494.7,78494.7,79312.4,79312.4,79312.4,79312.4,80130,80130,80130,80130
AC inverter output power (W) - Hour 32,197816,197816,197816,197816,199877,199877,199877,199877,201937,201937,201937,201937
AC inverter output power (W) - Hour 33,282953,282953,282953,282953,285901,285901,285901,285901,288848,288848,288848,288848
AC inverter output power (W) - Hour 34,163956,163956,163956,163956,165664,165664,165664,165664,167372,167372,167372,167372
