Day,Month,Hour,Hour Of Year,Total Manufacturing, Coal ,Gas, Renewable , Other ,GHI,Air temperature,Wind Speed
01/01/2020,1,0:00:00,1,"7,821","2,609","5,179",13,20,0,6.7,0.9
01/01/2020,1,1:00:00,2,"7,006","2,475","4,499",13,19,0,6.7,1
01/01/2020,1,2:00:00,3,"6,453","2,330","4,091",13,19,0,6.5,1
01/01/2020,1,3:00:00,4,"6,164","2,189","3,944",12,19,0,6.5,1
01/01/2020,1,4:00:00,5,"6,122","2,200","3,890",12,20,0,6.9,1
01/01/2020,1,5:00:00,6,"6,422","2,263","4,127",12,20,4,7.9,0.9
01/01/2020,1,6:00:00,7,"7,020","2,242","4,747",12,19,99,8.6,0.8
01/01/2020,1,7:00:00,8,"7,844","2,428","5,386",11,19,242,10.3,0.9
01/01/2020,1,8:00:00,9,"8,407","2,802","5,364",222,19,446,12.5,0.8
01/01/2020,1,9:00:00,10,"8,671","3,164","4,919",442,146,547,13.5,0.8
01/01/2020,1,10:00:00,11,"8,767","3,284","4,495",838,150,619,14.3,0.9
01/01/2020,1,11:00:00,12,"8,698","3,034","4,720",925,19,586,14.7,1
01/01/2020,1,12:00:00,13,"8,726","2,951","4,864",892,19,493,15.1,1.3
01/01/2020,1,13:00:00,14,"8,835","3,116","4,862",836,21,320,15,1.6
01/01/2020,1,14:00:00,15,"8,947","3,163","5,040",706,38,175,14.4,1.6
01/01/2020,1,15:00:00,16,"9,033","3,082","5,467",464,20,35,13.9,1.4
01/01/2020,1,16:00:00,17,"9,003","2,905","5,923",156,19,0,12.6,1.3
01/01/2020,1,17:00:00,18,"10,063","3,078","6,845",43,97,0,11.6,1.1
01/01/2020,1,18:00:00,19,"10,781","3,441","7,145",43,152,0,11.5,0.8
01/01/2020,1,19:00:00,20,"11,021","3,486","7,277",43,215,0,11.2,0.6
01/01/2020,1,20:00:00,21,"10,952","3,487","7,214",43,208,0,10.7,0.5
01/01/2020,1,21:00:00,22,"10,570","3,473","6,941",43,113,0,10.2,0.5
01/01/2020,1,22:00:00,23,"9,766","3,486","6,219",42,19,0,9.5,0.8
01/01/2020,1,23:00:00,24,"8,986","3,358","5,599",11,18,0,9.6,1.1
02/01/2020,1,0:00:00,25,"7,767","2,659","5,081",9,18,0,9.4,1
02/01/2020,1,1:00:00,26,"6,851","2,196","4,625",11,19,0,9,1.2
02/01/2020,1,2:00:00,27,"6,280","2,201","4,049",12,18,0,8.6,1.6
02/01/2020,1,3:00:00,28,"6,034","2,200","3,805",11,18,0,8.3,1.9
02/01/2020,1,4:00:00,29,"6,056","2,205","3,822",11,18,0,8,2.1
02/01/2020,1,5:00:00,30,"6,458","2,206","4,223",11,18,3,8.4,2.1
02/01/2020,1,6:00:00,31,"7,158","2,207","4,922",11,18,107,9.5,2.1
02/01/2020,1,7:00:00,32,"8,088","2,204","5,856",10,18,271,11.8,2.6
02/01/2020,1,8:00:00,33,"8,630","2,218","6,052",342,18,420,14,2.9
02/01/2020,1,9:00:00,34,"8,999","2,802","5,429",750,18,484,14.1,3.1
02/01/2020,1,10:00:00,35,"9,349","3,046","5,187","1,095",21,530,14.7,3.6
02/01/2020,1,11:00:00,36,"9,595","2,940","5,411","1,222",22,465,15.1,4
02/01/2020,1,12:00:00,37,"9,887","2,943","5,699","1,222",23,395,15.4,4.1
02/01/2020,1,13:00:00,38,"9,927","2,949","5,824","1,134",20,342,15.1,3.9
02/01/2020,1,14:00:00,39,"9,899","3,015","5,946",918,20,185,14.4,3.4
02/01/2020,1,15:00:00,40,"9,946","3,022","6,152",677,95,34,13.5,2.7
02/01/2020,1,16:00:00,41,"9,744","3,051","6,471",203,19,0,12.4,2.6
02/01/2020,1,17:00:00,42,"10,699","3,084","7,511",85,19,0,11.8,2.4
02/01/2020,1,18:00:00,43,"11,275","3,218","7,995",43,19,0,11.9,2.2
02/01/2020,1,19:00:00,44,"11,438","3,094","8,282",43,19,0,12.1,1.8
02/01/2020,1,20:00:00,45,"11,291","3,086","8,143",43,19,0,11.7,1.3
02/01/2020,1,21:00:00,46,"10,824","3,104","7,654",43,23,0,11.4,1.4
02/01/2020,1,22:00:00,47,"9,986","3,092","6,834",43,17,0,11.2,2.3
02/01/2020,1,23:00:00,48,"9,178","2,861","6,286",12,19,0,10.7,2.8
03/01/2020,1,0:00:00,49,"8,080","2,333","5,716",12,19,0,10.4,2.9
03/01/2020,1,1:00:00,50,"7,156","2,348","4,778",12,18,0,9.8,2.9
03/01/2020,1,2:00:00,51,"6,578","2,350","4,197",12,19,0,9.3,2.9
03/01/2020,1,3:00:00,52,"6,255","2,357","3,868",12,18,0,9.1,3
03/01/2020,1,4:00:00,53,"6,202","2,363","3,804",16,19,0,9,3.1
03/01/2020,1,5:00:00,54,"6,425","2,257","4,131",18,19,2,9.2,3.1
03/01/2020,1,6:00:00,55,"6,901","2,256","4,603",23,19,102,9.9,3.5
03/01/2020,1,7:00:00,56,"7,527","2,253","5,235",20,19,261,11,4.4
03/01/2020,1,8:00:00,57,"8,220","2,277","5,518",405,20,400,12.2,5.1
03/01/2020,1,9:00:00,58,"8,682","2,261","5,497",904,20,499,13.3,5.5
03/01/2020,1,10:00:00,59,"8,837","2,261","5,320","1,236",20,508,14.3,5.9
03/01/2020,1,11:00:00,60,"9,139","2,262","5,541","1,317",19,487,14.6,5.8
03/01/2020,1,12:00:00,61,"9,370","2,257","5,687","1,408",18,356,14.7,5.6
