Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1082865,-,-,-,43.21,-79.22,-5,85,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2018,1,1,0,30,0,0,0,-14.9,-13.200000000000001,1018,315,3.3000000000000003,0.68
2018,1,1,1,30,0,0,0,-15,-13.100000000000001,1018,306,3.1,0.68
2018,1,1,2,30,0,0,0,-15,-12.9,1018,295,3.1,0.68
2018,1,1,3,30,0,0,0,-14.600000000000001,-12.4,1017,284,3.4000000000000004,0.68
2018,1,1,4,30,0,0,0,-14,-11.8,1017,276,3.9000000000000004,0.68
2018,1,1,5,30,0,0,0,-13.200000000000001,-11.100000000000001,1017,272,4.6000000000000005,0.68
2018,1,1,6,30,0,0,0,-12.700000000000001,-10.600000000000001,1017,269,5.2,0.68
2018,1,1,7,30,0,0,0,-12.5,-10.200000000000001,1017,266,5.7,0.68
2018,1,1,8,30,373,35,70,-12.3,-9.8,1017,266,6.4,0.68
2018,1,1,9,30,513,64,181,-12,-9.4,1017,266,6.9,0.68
2018,1,1,10,30,629,87,294,-12,-9.1,1017,268,7.2,0.68
2018,1,1,11,30,772,89,389,-11.9,-8.9,1016,269,7.300000000000001,0.68
2018,1,1,12,30,700,87,370,-11.9,-8.700000000000001,1015,268,7.4,0.68
2018,1,1,13,30,329,135,258,-11.700000000000001,-8.5,1015,266,7.5,0.68
2018,1,1,14,30,559,82,250,-11.3,-8.1,1015,264,7.6000000000000005,0.68
2018,1,1,15,30,284,65,119,-10.600000000000001,-7.9,1015,266,7.7,0.68
2018,1,1,16,30,35,17,19,-10.3,-8,1015,274,7.800000000000001,0.68
2018,1,1,17,30,0,0,0,-10.4,-8.3,1016,286,7.800000000000001,0.68
2018,1,1,18,30,0,0,0,-10.700000000000001,-8.4,1016,293,7.7,0.68
2018,1,1,19,30,0,0,0,-11.3,-9,1017,300,7,0.68
2018,1,1,20,30,0,0,0,-11.5,-9.1,1017,295,6.4,0.68
2018,1,1,21,30,0,0,0,-11.100000000000001,-8.700000000000001,1017,285,6.300000000000001,0.68
2018,1,1,22,30,0,0,0,-10.4,-8.200000000000001,1017,277,6.6000000000000005,0.68
2018,1,1,23,30,0,0,0,-10,-7.800000000000001,1016,272,7,0.68
2018,1,2,0,30,0,0,0,-9.700000000000001,-7.6000000000000005,1016,268,7.4,0.68
2018,1,2,1,30,0,0,0,-9.5,-7.5,1016,265,7.6000000000000005,0.68
2018,1,2,2,30,0,0,0,-9.4,-7.7,1017,263,7.7,0.68
2018,1,2,3,30,0,0,0,-9.5,-7.9,1016,261,7.800000000000001,0.68
2018,1,2,4,30,0,0,0,-9.8,-8.1,1016,260,8,0.68
2018,1,2,5,30,0,0,0,-9.9,-8.200000000000001,1016,258,8,0.68
2018,1,2,6,30,0,0,0,-10,-8.3,1016,255,8.200000000000001,0.68
2018,1,2,7,30,0,0,0,-10.100000000000001,-8.200000000000001,1016,252,8.6,0.68
2018,1,2,8,30,150,32,46,-10,-7.800000000000001,1015,249,9.200000000000001,0.68
2018,1,2,9,30,53,87,99,-9.5,-7.300000000000001,1015,248,9.9,0.68
2018,1,2,10,30,93,130,161,-9.1,-6.800000000000001,1014,248,10.5,0.68
2018,1,2,11,30,51,152,172,-8.9,-6.6000000000000005,1013,248,10.8,0.68
2018,1,2,12,30,261,159,265,-8.9,-6.4,1012,247,10.9,0.68
2018,1,2,13,30,644,85,327,-9,-6.5,1012,247,10.8,0.68
2018,1,2,14,30,773,70,304,-9,-6.6000000000000005,1012,246,10.700000000000001,0.68
2018,1,2,15,30,628,55,175,-9.1,-6.9,1012,245,10.4,0.68
2018,1,2,16,30,220,24,35,-9.200000000000001,-7.1000000000000005,1012,245,10,0.68
2018,1,2,17,30,0,0,0,-9.200000000000001,-7.1000000000000005,1012,245,9.5,0.68
2018,1,2,18,30,0,0,0,-9.1,-7.1000000000000005,1011,244,9.3,0.68
2018,1,2,19,30,0,0,0,-9,-7,1011,243,8.9,0.68
2018,1,2,20,30,0,0,0,-9.1,-7.1000000000000005,1010,242,8.8,0.68
2018,1,2,21,30,0,0,0,-9.200000000000001,-7.300000000000001,1010,240,8.700000000000001,0.68
2018,1,2,22,30,0,0,0,-9.4,-7.6000000000000005,1010,239,8.5,0.68
2018,1,2,23,30,0,0,0,-9.600000000000001,-7.800000000000001,1010,237,8.3,0.68
2018,1,3,0,30,0,0,0,-9.8,-7.9,1009,235,8.200000000000001,0.68
2018,1,3,1,30,0,0,0,-9.9,-7.9,1009,233,8.1,0.68
2018,1,3,2,30,0,0,0,-9.9,-8,1009,231,8,0.68
2018,1,3,3,30,0,0,0,-10,-8,1008,228,8,0.68
2018,1,3,4,30,0,0,0,-10,-8,1008,226,7.800000000000001,0.68
2018,1,3,5,30,0,0,0,-10.100000000000001,-8,1008,223,7.5,0.68
2018,1,3,6,30,0,0,0,-10.200000000000001,-8,1007,221,7.300000000000001,0.68
2018,1,3,7,30,0,0,0,-10.200000000000001,-7.9,1007,219,7.300000000000001,0.68
2018,1,3,8,30,1,28,28,-10.100000000000001,-7.5,1007,218,7.6000000000000005,0.68
2018,1,3,9,30,27,83,89,-10,-6.800000000000001,1006,218,7.9,0.68
2018,1,3,10,30,65,114,135,-9.700000000000001,-6.1000000000000005,1006,220,8,0.68
2018,1,3,11,30,472,121,306,-9.3,-5.5,1005,222,8,0.68
2018,1,3,12,30,348,150,292,-9.1,-5.1000000000000005,1004,223,7.800000000000001,0.68
2018,1,3,13,30,72,153,180,-8.8,-4.9,1004,222,7.6000000000000005,0.68
2018,1,3,14,30,176,113,167,-8.4,-4.9,1003,222,7.5,0.68
2018,1,3,15,30,59,73,84,-8.200000000000001,-4.9,1003,222,7.300000000000001,0.68
2018,1,3,16,30,9,16,16,-8,-4.800000000000001,1003,224,7.1000000000000005,0.68
2018,1,3,17,30,0,0,0,-7.9,-4.800000000000001,1004,226,7,0.68
2018,1,3,18,30,0,0,0,-7.6000000000000005,-4.7,1004,227,6.9,0.68
2018,1,3,19,30,0,0,0,-7.5,-4.800000000000001,1004,239,6.800000000000001,0.68
2018,1,3,20,30,0,0,0,-7.6000000000000005,-5.1000000000000005,1003,250,6.4,0.68
2018,1,3,21,30,0,0,0,-7.800000000000001,-5.6000000000000005,1003,258,5.800000000000001,0.68
2018,1,3,22,30,0,0,0,-8.200000000000001,-6.1000000000000005,1003,263,4.9,0.68
2018,1,3,23,30,0,0,0,-8.700000000000001,-6.6000000000000005,1003,267,4.2,0.68
2018,1,4,0,30,0,0,0,-9.200000000000001,-7.1000000000000005,1002,273,3.9000000000000004,0.68
2018,1,4,1,30,0,0,0,-9.5,-7.5,1002,281,3.7,0.68
2018,1,4,2,30,0,0,0,-9.9,-7.800000000000001,1002,287,3.5,0.68
2018,1,4,3,30,0,0,0,-10.100000000000001,-8,1001,293,3.5,0.68
2018,1,4,4,30,0,0,0,-9.9,-7.800000000000001,1001,301,4,0.68
2018,1,4,5,30,0,0,0,-9.5,-7.6000000000000005,1001,313,4.7,0.68
2018,1,4,6,30,0,0,0,-9.3,-7.5,1001,325,5.7,0.68
2018,1,4,7,30,0,0,0,-9.4,-7.5,1001,333,6.4,0.68
2018,1,4,8,30,352,33,67,-9.700000000000001,-7.6000000000000005,1001,335,6.800000000000001,0.68
2018,1,4,9,30,589,56,191,-10.100000000000001,-7.7,1001,334,6.9,0.68
2018,1,4,10,30,638,73,284,-10.4,-7.800000000000001,1000,330,7,0.68
2018,1,4,11,30,600,104,339,-10.600000000000001,-7.9,1000,325,7,0.68
2018,1,4,12,30,61,159,184,-10.8,-8.1,999,322,7.2,0.68
2018,1,4,13,30,61,145,168,-10.9,-8.3,999,319,7.4,0.68
2018,1,4,14,30,69,115,136,-11.3,-8.700000000000001,999,318,7.5,0.68
2018,1,4,15,30,1,51,51,-11.600000000000001,-9.200000000000001,999,317,7.7,0.68
2018,1,4,16,30,52,13,16,-12.100000000000001,-9.8,1000,317,8,0.68
2018,1,4,17,30,0,0,0,-12.5,-10.4,1001,318,8.1,0.68
2018,1,4,18,30,0,0,0,-12.9,-10.600000000000001,1001,319,8.1,0.68
2018,1,4,19,30,0,0,0,-13.200000000000001,-11.200000000000001,1001,319,8,0.68
2018,1,4,20,30,0,0,0,-13.4,-11.600000000000001,1001,319,7.9,0.68
2018,1,4,21,30,0,0,0,-13.700000000000001,-12.100000000000001,1001,318,7.800000000000001,0.68
2018,1,4,22,30,0,0,0,-13.9,-12.5,1001,318,7.7,0.68
2018,1,4,23,30,0,0,0,-14.100000000000001,-12.9,1002,318,7.7,0.68
2018,1,5,0,30,0,0,0,-14.3,-13.3,1002,317,7.7,0.68
2018,1,5,1,30,0,0,0,-14.600000000000001,-13.700000000000001,1002,316,7.800000000000001,0.68
2018,1,5,2,30,0,0,0,-14.8,-14,1003,314,7.7,0.68
2018,1,5,3,30,0,0,0,-15,-14.200000000000001,1003,313,7.7,0.68
2018,1,5,4,30,0,0,0,-15.200000000000001,-14.3,1003,312,7.6000000000000005,0.68
2018,1,5,5,30,0,0,0,-15.200000000000001,-14.4,1004,311,7.5,0.68
2018,1,5,6,30,0,0,0,-15.3,-14.4,1004,310,7.5,0.68
2018,1,5,7,30,0,0,0,-15.200000000000001,-14.3,1005,310,7.4,0.68
2018,1,5,8,30,149,35,49,-15.200000000000001,-14.3,1005,310,7.5,0.68
2018,1,5,9,30,390,71,161,-15.200000000000001,-14.100000000000001,1006,309,7.6000000000000005,0.68
2018,1,5,10,30,219,123,196,-15.100000000000001,-14,1006,307,7.6000000000000005,0.68
2018,1,5,11,30,42,152,169,-15.100000000000001,-13.8,1006,305,7.6000000000000005,0.68
2018,1,5,12,30,165,164,232,-15.100000000000001,-13.600000000000001,1006,304,7.7,0.68
2018,1,5,13,30,308,141,259,-15.100000000000001,-13.600000000000001,1007,303,7.7,0.68
2018,1,5,14,30,81,119,144,-15.100000000000001,-13.600000000000001,1007,303,7.6000000000000005,0.68
2018,1,5,15,30,22,65,69,-15.200000000000001,-13.600000000000001,1008,302,7.5,0.68
2018,1,5,16,30,72,16,20,-15.3,-13.4,1009,301,7.4,0.68
2018,1,5,17,30,0,0,0,-15.200000000000001,-13.200000000000001,1009,300,7.2,0.68
2018,1,5,18,30,0,0,0,-15.100000000000001,-13.100000000000001,1009,300,7.1000000000000005,0.68
2018,1,5,19,30,0,0,0,-14.9,-12.8,1010,300,7,0.68
2018,1,5,20,30,0,0,0,-14.700000000000001,-12.700000000000001,1010,300,7.1000000000000005,0.68
