Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1309255,-,-,-,41.33,-71.98,-5,0,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2000,1,1,0,30,0,0,0,-1,0,1020,272,0.9,0.1
2000,1,1,1,30,0,0,0,-1,0,1020,274,0.9,0.1
2000,1,1,2,30,0,0,0,-1,0,1020,275,0.9,0.1
2000,1,1,3,30,0,0,0,-1,0,1020,273,0.9,0.1
2000,1,1,4,30,0,0,0,0,0,1020,270,1,0.1
2000,1,1,5,30,0,0,0,0,0,1020,265,1.2000000000000002,0.1
2000,1,1,6,30,0,0,0,0,0,1020,253,1.3,0.1
2000,1,1,7,30,0,17,17,0,1,1020,237,1.1,0.1
2000,1,1,8,30,455,60,144,1,3,1020,228,0.9,0.1
2000,1,1,9,30,382,103,220,2,5,1020,230,1,0.1
2000,1,1,10,30,461,127,307,2,6,1020,232,1.1,0.1
2000,1,1,11,30,87,185,222,3,7,1020,232,1.2000000000000002,0.1
2000,1,1,12,30,39,170,187,3,7,1020,230,1.3,0.1
2000,1,1,13,30,17,139,145,4,8,1020,227,1.2000000000000002,0.1
2000,1,1,14,30,357,92,190,5,7,1020,225,1.2000000000000002,0.1
2000,1,1,15,30,370,51,103,4,6,1020,224,1.2000000000000002,0.1
2000,1,1,16,30,0,0,0,4,4,1020,223,1.2000000000000002,0.1
2000,1,1,17,30,0,0,0,2,4,1020,222,1.3,0.1
2000,1,1,18,30,0,0,0,4,4,1020,222,1.2000000000000002,0.1
2000,1,1,19,30,0,0,0,4,5,1020,222,1.2000000000000002,0.1
2000,1,1,20,30,0,0,0,4,5,1020,224,1.1,0.1
2000,1,1,21,30,0,0,0,4,5,1020,226,1,0.1
2000,1,1,22,30,0,0,0,4,4,1020,229,1,0.1
2000,1,1,23,30,0,0,0,4,4,1020,232,0.9,0.1
2000,1,2,0,30,0,0,0,4,4,1020,233,0.9,0.1
2000,1,2,1,30,0,0,0,4,4,1020,236,0.9,0.1
2000,1,2,2,30,0,0,0,2,4,1020,240,0.9,0.1
2000,1,2,3,30,0,0,0,2,4,1020,246,0.8,0.1
2000,1,2,4,30,0,0,0,2,4,1020,244,0.8,0.1
2000,1,2,5,30,0,0,0,2,4,1020,238,0.8,0.1
2000,1,2,6,30,0,0,0,2,4,1020,233,0.8,0.1
2000,1,2,7,30,0,4,4,2,4,1020,229,0.7000000000000001,0.1
2000,1,2,8,30,0,9,9,4,5,1020,220,0.6000000000000001,0.1
2000,1,2,9,30,95,125,154,6,7,1020,204,0.6000000000000001,0.1
2000,1,2,10,30,143,167,223,7,8,1020,196,0.6000000000000001,0.1
2000,1,2,11,30,10,156,160,8,10,1020,201,0.8,0.1
2000,1,2,12,30,103,184,228,9,11,1020,207,0.9,0.1
2000,1,2,13,30,69,154,180,9,10,1010,209,0.9,0.1
2000,1,2,14,30,297,99,182,9,10,1010,208,0.9,0.1
2000,1,2,15,30,0,45,45,8,9,1010,207,0.9,0.1
2000,1,2,16,30,0,0,0,8,9,1010,207,1,0.1
2000,1,2,17,30,0,0,0,9,9,1010,208,1,0.1
2000,1,2,18,30,0,0,0,9,9,1010,206,1.1,0.1
2000,1,2,19,30,0,0,0,9,9,1010,205,1.1,0.1
2000,1,2,20,30,0,0,0,9,9,1010,206,1.2000000000000002,0.1
