Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1878213,-,-,-,31.25,34.78,2,268,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,0,8.8,10.2,995,90.81,306,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,0,8.6,10.3,995,89.31,307,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,0,3.9,7,993,80.72,146,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,0,3.4,6.7,993,79.43,149,1.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,0,2.9,6.4,992,78.51,150,1.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,0,2.6,6.2,993,77.6,151,1.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,0,2.3,6.9,993,72.6,152,1.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,386,52,109,2.9,8.9,993,66,164,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,639,86,290,2.7,11.5,993,54.74,188,2.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,157,201,272,3.1,14.2,993,47.04,215,2.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,803,120,556,3.1,16.6,992,40.48,236,3.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,841,117,607,3.1,17.9,991,37.14,246,3.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,826,117,587,3.3,18.3,991,36.83,254,3.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,783,111,504,3.7,18.1,991,38.39,262,3.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,708,94,369,4.2,17,991,42.57,271,2.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,533,69,194,6.1,14.5,992,57.18,282,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,130,22,29,7.2,11.9,992,73.02,292,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,0,0,0,6.9,11,993,75.84,297,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,0,0,7,10.8,993,77.25,299,1.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,0,0,6.9,10.9,993,76.55,300,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,0,0,6.9,11,993,75.83,296,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,0,0,6.9,10.9,993,76.2,287,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,0,0,6.8,10.5,993,77.7,275,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,0,6.6,10,993,79.35,261,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,0,0,6.4,9.2,993,82.45,245,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,0,0,6.1,8.8,993,83.14,239,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,0,5.8,7.8,992,87.07,224,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,0,5.4,7.1,992,89.15,218,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,0,5.1,6.6,992,90.13,211,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,0,4.7,6.4,992,89.09,201,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,0,4.4,7.2,993,82.16,192,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,337,55,105,4.9,9.5,993,72.91,188,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,601,94,285,4.6,12.3,993,59.51,189,2.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,137,201,263,4.6,15,993,49.84,196,2.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,105,248,305,4,16.8,992,42.45,205,2.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,183,274,381,3.8,17.5,991,40.02,209,3.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,714,162,570,3.7,17.7,990,39.34,213,3.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,659,157,489,3.7,17.6,989,39.55,218,3.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,595,125,357,3.9,16.8,989,42.17,226,3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,393,92,184,5.5,14.7,990,53.92,236,2.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,30,0,10,10,6.5,12.8,990,65.48,248,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,30,0,0,0,6.2,12,990,67.57,256,2.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,30,0,0,0,6.1,11.3,990,70.22,261,2.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,30,0,0,0,6,10.8,991,72.26,261,2.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
