Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1880149,-,-,-,31.17,34.82,2,337,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,0,8.5,9.3,987,94.75,335,0.5,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,0,8.3,9.4,986,93.03,340,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,0,3.1,6.2,985,80.59,147,1.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,0,2.6,5.9,984,79.21,151,1.8,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,0,2.1,5.6,984,78.37,154,1.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,0,1.8,5.4,984,77.42,157,1.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,0,1.5,6.1,985,72.58,162,1.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,399,52,113,2.3,8.3,985,65.78,172,2.1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,12,117,121,2,11,985,53.78,193,2.3,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,287,190,320,2.4,13.9,985,45.76,222,2.8,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,808,124,564,2.5,16.3,984,39.61,242,3.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,352,250,455,2.5,17.7,983,36.09,251,4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,831,123,597,2.7,18.1,982,35.75,259,3.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,783,116,510,3.1,17.8,982,37.37,268,3.8,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,709,97,373,3.5,16.8,983,41.02,280,3.1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,533,71,196,5.5,14.1,983,56.09,296,2.2,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,129,22,29,6.5,11.4,984,72.09,309,1.8,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,0,0,0,6.3,10.3,984,76.07,315,1.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,0,0,6.4,10,985,78.55,318,1.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,0,0,6.5,10.1,985,78.19,321,1.3,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,0,0,6.5,10.2,985,77.7,318,1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,0,0,6.5,10.1,984,78.21,300,0.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,0,0,6.4,9.8,984,79.31,265,0.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,0,6.2,9.2,984,81.51,232,0.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,0,0,5.9,8.5,984,83.89,216,0.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,0,0,5.6,8.1,984,84.16,213,1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,0,5.2,7.1,984,87.67,207,1.2,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,0,4.7,6.4,984,89.14,205,1.3,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,0,4.3,5.9,984,89.59,204,1.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,0,3.9,5.6,984,88.81,201,1.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,0,3.5,6.4,984,81.81,196,1.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,345,56,108,4.3,8.9,985,72.64,191,1.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,611,96,291,3.9,11.8,985,58.57,190,2.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,735,116,451,4,14.5,984,49.18,199,2.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,797,128,563,3.4,16.4,983,41.94,210,2.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,107,273,335,3.2,17.1,982,39.57,215,3.2,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,729,166,582,3.1,17.4,981,38.59,219,3.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,672,157,496,3.1,17.3,981,38.76,223,3.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,76,164,194,3.2,16.5,981,41.15,229,3.1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,0,62,62,4.9,14.3,981,53.25,241,2.1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,30,0,10,10,6,12.2,982,65.93,255,1.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,30,0,0,0,5.6,11.3,982,68,262,2.2,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,30,0,0,0,5.4,10.6,982,70.38,262,2.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,30,0,0,0,5.3,10,982,72.65,256,2.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,20,30,0,0,0,5.3,9.4,982,75.41,246,2.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,21,30,0,0,0,5.1,9,982,76.43,237,2.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,22,30,0,0,0,4.7,8.4,983,77.76,232,2.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,23,30,0,0,0,4.5,7.8,983,79.83,228,2.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,0,30,0,0,0,4.4,7.3,984,81.62,223,2.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,1,30,0,0,0,4.2,7.2,984,81.15,221,2.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,2,30,0,0,0,4.1,6.6,984,83.83,220,2.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,3,30,0,0,0,4,6.3,985,84.96,219,2.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,4,30,0,0,0,3.9,6.1,985,85.65,219,2.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,5,30,0,0,0,3.9,5.9,986,87.09,218,2.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,6,30,0,0,0,4.1,6.5,987,84.53,214,3,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,7,30,80,73,85,4.7,8.3,988,78.01,210,3.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,8,30,340,151,260,5.4,10.4,989,71.28,215,4.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,9,30,511,187,420,6.6,12.2,989,68.58,224,4.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,10,30,611,199,532,7.1,13.5,989,65.19,230,5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
