Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1882079,-,-,-,31.25,34.86,2,302,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2019,1,1,0,30,0,0,0,8.6,9.9,992,91.89,306,0.6000000000000001,0.27
2019,1,1,1,30,0,0,0,8.5,9.9,992,91.03,307,0.5,0.27
2019,1,1,2,30,0,0,0,3.5,6.6000000000000005,990,80.46000000000001,146,1.6,0.24
2019,1,1,3,30,0,0,0,2.9000000000000004,6.300000000000001,989,79.04,149,1.6,0.24
2019,1,1,4,30,0,0,0,2.5,6,989,78.21000000000001,150,1.6,0.24
2019,1,1,5,30,0,0,0,2.1,5.800000000000001,989,77.3,151,1.5,0.24
2019,1,1,6,30,0,0,0,1.9000000000000001,6.5,990,72.49,152,1.5,0.24
2019,1,1,7,30,396,52,112,2.6,8.5,990,66.42,164,1.7000000000000002,0.24
2019,1,1,8,30,646,86,292,2.4000000000000004,11.200000000000001,990,54.51,188,1.9000000000000001,0.24
2019,1,1,9,30,757,107,450,2.8000000000000003,14,990,46.74,215,2.4000000000000004,0.24
2019,1,1,10,30,807,120,559,2.9000000000000004,16.5,989,40.18,236,3.2,0.24
2019,1,1,11,30,842,118,609,2.9000000000000004,17.8,988,36.94,246,3.6,0.24
2019,1,1,12,30,827,118,588,3.1,18.2,988,36.56,254,3.5,0.24
2019,1,1,13,30,784,112,505,3.5,18,988,38.02,262,3.4000000000000004,0.24
2019,1,1,14,30,708,95,369,4,16.900000000000002,988,42.17,271,2.9000000000000004,0.24
2019,1,1,15,30,532,70,194,6,14.3,989,57.4,282,2,0.24
2019,1,1,16,30,126,22,28,7.1000000000000005,11.600000000000001,989,73.72,292,1.7000000000000002,0.24
2019,1,1,17,30,0,0,0,6.7,10.700000000000001,990,76.48,297,1.7000000000000002,0.24
2019,1,1,18,30,0,0,0,6.800000000000001,10.4,990,78.57000000000001,299,1.5,0.24
2019,1,1,19,30,0,0,0,6.800000000000001,10.4,990,78.57000000000001,300,1.3,0.24
2019,1,1,20,30,0,0,0,6.800000000000001,10.600000000000001,990,77.45,296,1.1,0.24
2019,1,1,21,30,0,0,0,6.800000000000001,10.5,990,77.94,287,0.9,0.24
2019,1,1,22,30,0,0,0,6.7,10.200000000000001,990,79.06,275,0.8,0.24
2019,1,1,23,30,0,0,0,6.6000000000000005,9.700000000000001,989,80.78,261,0.8,0.24
2019,1,2,0,30,0,0,0,6.300000000000001,9,989,83.46000000000001,245,0.9,0.24
2019,1,2,1,30,0,0,0,6.1000000000000005,8.6,989,84.2,239,1,0.24
2019,1,2,2,30,0,0,0,5.800000000000001,7.5,989,88.82000000000001,224,1.1,0.24
2019,1,2,3,30,0,0,0,5.4,6.800000000000001,989,90.83,218,1.2000000000000002,0.24
2019,1,2,4,30,0,0,0,5,6.300000000000001,989,91.65,211,1.2000000000000002,0.24
2019,1,2,5,30,0,0,0,4.6000000000000005,6,989,90.92,201,1.3,0.24
2019,1,2,6,30,0,0,0,4.2,6.800000000000001,989,83.45,192,1.3,0.24
2019,1,2,7,30,341,56,107,4.7,9.200000000000001,990,73.65,188,1.7000000000000002,0.24
2019,1,2,8,30,603,94,287,4.5,12,990,59.980000000000004,189,2.2,0.24
2019,1,2,9,30,731,114,446,4.4,14.700000000000001,989,50.15,196,2.5,0.24
2019,1,2,10,30,124,251,318,3.8000000000000003,16.6,988,42.43,205,2.8000000000000003,0.24
2019,1,2,11,30,114,273,339,3.6,17.3,987,39.980000000000004,209,3,0.24
2019,1,2,12,30,718,163,572,3.5,17.5,987,39.300000000000004,213,3.2,0.24
2019,1,2,13,30,663,157,491,3.5,17.400000000000002,986,39.5,218,3.4000000000000004,0.24
2019,1,2,14,30,93,166,202,3.7,16.6,986,42.13,226,2.9000000000000004,0.24
2019,1,2,15,30,396,92,185,5.4,14.4,986,54.74,236,2,0.24
2019,1,2,16,30,0,12,12,6.5,12.4,987,67.08,248,1.8,0.24
2019,1,2,17,30,0,0,0,6.1000000000000005,11.600000000000001,987,68.94,256,2,0.24
2019,1,2,18,30,0,0,0,6,11,987,71.13,261,2.2,0.24
2019,1,2,19,30,0,0,0,5.9,10.3,987,73.98,261,2.3000000000000003,0.24
2019,1,2,20,30,0,0,0,5.800000000000001,9.8,987,75.99,256,2.3000000000000003,0.24
2019,1,2,21,30,0,0,0,5.6000000000000005,9.4,987,76.93,248,2.5,0.24
2019,1,2,22,30,0,0,0,5.2,8.9,988,77.78,243,2.7,0.24
2019,1,2,23,30,0,0,0,5,8.3,988,79.84,240,2.6,0.24
2019,1,3,0,30,0,0,0,4.9,7.9,989,81.11,237,2.5,0.24
2019,1,3,1,30,0,0,0,4.7,7.7,989,81.19,236,2.5,0.24
2019,1,3,2,30,0,0,0,4.6000000000000005,7.1000000000000005,989,83.84,229,2.4000000000000004,0.24
2019,1,3,3,30,0,0,0,4.4,6.800000000000001,990,84.83,226,2.4000000000000004,0.24
2019,1,3,4,30,0,0,0,4.3,6.5,990,85.82000000000001,224,2.4000000000000004,0.24
2019,1,3,5,30,0,0,0,4.3,6.300000000000001,991,86.93,221,2.5,0.24
2019,1,3,6,30,0,0,0,4.4,6.9,992,84.12,218,2.8000000000000003,0.24
2019,1,3,7,30,73,72,83,5,8.6,993,78.01,217,3.4000000000000004,0.24
2019,1,3,8,30,324,151,255,5.7,10.700000000000001,994,71.25,221,4.2,0.24
2019,1,3,9,30,492,189,413,6.9,12.5,994,68.51,225,4.6000000000000005,0.24
2019,1,3,10,30,594,201,525,7.300000000000001,13.700000000000001,994,65.5,227,4.6000000000000005,0.24
2019,1,3,11,30,774,147,600,7.300000000000001,14.700000000000001,993,61.32,232,4.5,0.24
2019,1,3,12,30,782,139,586,7.2,15.3,993,58.43,238,4.3,0.24
2019,1,3,13,30,753,126,507,7.1000000000000005,15.4,993,57.69,243,3.9000000000000004,0.24
2019,1,3,14,30,686,104,373,7.1000000000000005,15,993,59.03,248,3.2,0.24
2019,1,3,15,30,508,77,198,7.6000000000000005,13.200000000000001,994,68.61,253,2,0.24
2019,1,3,16,30,106,25,31,7.9,11.3,994,79.83,256,1.4000000000000001,0.24
2019,1,3,17,30,0,0,0,6.9,10.600000000000001,995,78.05,254,1.3,0.24
2019,1,3,18,30,0,0,0,6.5,10.4,995,76.89,245,1.1,0.24
2019,1,3,19,30,0,0,0,6.300000000000001,10.100000000000001,996,77.47,230,1,0.24
