Date	Time-DEL	Time	GHI	DNI	DIF	flagR	SE	SA	TEMP	AP	RH	WS	WD	PWAT
31.12.2019	0:30:00	0:00:00	0	0	0	0	-52.32	-91.81	6.4	975.5	54.4	2.4	248	6.2
31.12.2019	1:30:00	1:00:00	0	0	0	0	-39.5	-84.42	5.8	975.5	54.8	2.3	245	6.1
31.12.2019	2:30:00	2:00:00	0	0	0	0	-26.82	-77.92	5	975.6	56.5	2.2	240	5.9
31.12.2019	3:30:00	3:00:00	0	0	0	0	-14.45	-71.41	5	975.9	56.8	2	235	5.8
31.12.2019	4:30:00	4:00:00	4	0	4	2	-1.99	-64.34	5.2	976.1	57	2	228	5.7
31.12.2019	5:30:00	5:00:00	121	519	39	1	8.75	-56.2	6.3	976.7	54.1	1.8	221	5.7
31.12.2019	6:30:00	6:00:00	292	707	65	1	18.72	-46.45	8	977	48.2	1.6	217	5.7
31.12.2019	7:30:00	7:00:00	440	780	86	1	27.05	-34.53	10.3	977.2	44.3	1.8	221	5.8
31.12.2019	8:30:00	8:00:00	536	791	106	1	32.95	-20.14	12.6	977	39.6	1.8	229	6
31.12.2019	9:30:00	9:00:00	568	742	136	1	35.62	-3.79	13.5	976.3	35.9	1.5	246	5.8
31.12.2019	10:30:00	10:00:00	554	754	125	1	34.59	12.99	14.7	975.6	30.4	1.5	262	5.5
31.12.2019	11:30:00	11:00:00	477	728	112	1	30.05	28.38	15	975	29.3	1.4	272	6
31.12.2019	12:30:00	12:00:00	367	695	99	1	22.7	41.4	15.1	974.9	29.3	1.5	289	6.4
31.12.2019	13:30:00	13:00:00	197	531	65	1	13.37	52.07	14.7	974.9	31.1	1.7	305	6.9
31.12.2019	14:30:00	14:00:00	37	159	22	2	3.04	60.86	13.6	974.9	36.6	1.8	314	7.3
31.12.2019	15:30:00	15:00:00	0	0	0	0	-8.88	68.34	12.6	975.2	45.1	1.8	318	7.8
31.12.2019	16:30:00	16:00:00	0	0	0	0	-21.23	75.04	11.2	975.5	54.1	1.8	320	8.3
31.12.2019	17:30:00	17:00:00	0	0	0	0	-33.79	81.46	9.9	975.7	61.3	1.4	325	8.7
31.12.2019	18:30:00	18:00:00	0	0	0	0	-46.57	88.3	9.8	975.6	63.5	0.7	323	8.9
31.12.2019	19:30:00	19:00:00	0	0	0	0	-59.38	96.96	8.8	975.3	67.1	0.2	269	9.1
31.12.2019	20:30:00	20:00:00	0	0	0	0	-71.8	112.45	7.7	975.1	70.4	0.3	191	9.1
31.12.2019	21:30:00	21:00:00	0	0	0	0	-80.84	161.33	7.5	974.6	72.3	0.5	196	9.6
31.12.2019	22:30:00	22:00:00	0	0	0	0	-76.76	-126.96	7.1	973.9	75	0.8	209	10.3
31.12.2019	23:30:00	23:00:00	0	0	0	0	-65.05	-102.4	6.9	973.5	76.6	0.8	217	10.3
01.01.2020	0:30:00	0:00:00	0	0	0	0	-52.41	-92.01	6.7	973.3	77.3	0.9	236	10.5
01.01.2020	1:30:00	1:00:00	0	0	0	0	-39.59	-84.58	6.7	973.2	78	1	251	10.7
01.01.2020	2:30:00	2:00:00	0	0	0	0	-26.91	-78.05	6.5	972.9	79.4	1	252	11
01.01.2020	3:30:00	3:00:00	0	0	0	0	-14.53	-71.54	6.5	972.7	79.7	1	249	11.2
01.01.2020	4:30:00	4:00:00	4	0	4	2	-2.06	-64.47	6.9	972.9	79.4	1	244	11.3
01.01.2020	5:30:00	5:00:00	99	289	59	1	8.69	-56.35	7.9	973	76.2	0.9	239	11.2
01.01.2020	6:30:00	6:00:00	242	353	127	1	18.68	-46.61	8.6	973.1	72.1	0.8	239	11.1
01.01.2020	7:30:00	7:00:00	446	719	119	1	27.05	-34.69	10.3	973.3	66.7	0.9	250	11.1
01.01.2020	8:30:00	8:00:00	547	729	150	1	32.98	-20.32	12.5	972.9	60.2	0.8	264	11
01.01.2020	9:30:00	9:00:00	619	881	105	1	35.69	-3.96	13.5	972.1	60.3	0.8	279	10.9
01.01.2020	10:30:00	10:00:00	586	789	137	1	34.69	12.85	14.3	971.2	61.2	0.9	294	10.7
01.01.2020	11:30:00	11:00:00	493	682	149	1	30.17	28.28	14.7	970.5	57.8	1	304	10.7
01.01.2020	12:30:00	12:00:00	320	484	131	1	22.84	41.34	15.1	970.5	55.3	1.3	303	10.8
01.01.2020	13:30:00	13:00:00	175	399	80	1	13.51	52.04	15	970.4	54.5	1.6	305	11
01.01.2020	14:30:00	14:00:00	35	168	18	2	3.17	60.84	14.4	970.5	55.7	1.6	305	11.3
01.01.2020	15:30:00	15:00:00	0	0	0	0	-8.71	68.34	13.9	970.8	59.3	1.4	307	11.7
01.01.2020	16:30:00	16:00:00	0	0	0	0	-21.08	75.05	12.6	971.1	66.2	1.3	311	12.1
